Restaurant Name,Restaurant Name Length,Address Length,Has Table Booking (binary),Has Online Delivery (binary),Aggregate rating
Chinar Junction,15,43,0,0,2.8
Frontier,8,95,0,0,2.9
Ganpati Rasoi,13,70,0,0,3.2
Indian & Chinese Corner,23,22,0,0,3.1
Juice Lounge,12,48,0,0,3.4
KB's Kulfi & Icecream,21,41,0,1,3.3
KB's Kulfi & Icecream,21,60,0,1,3.3
Keventers,9,40,0,0,2.6
KFC,3,40,0,1,2.7
Madras Cafe,11,44,0,0,3.3
Madurai Meenakshi Bhawan,24,41,0,0,3.4
Masala Fusion,13,61,0,1,3.2
Moti Mahal Delux Tandoori Trail,31,56,1,0,2.9
Mr. & Mrs. Idly,15,120,0,0,3.0
Pind Bawarchi,13,43,0,1,3.1
Republic of Chicken,19,25,0,0,2.8
Ridhi Sidhi,11,52,0,1,3.0
Romi Da Dhaba,13,61,0,0,3.2
Shamji Sweets,13,66,0,0,2.9
Six Pack Kitchen,16,67,0,0,3.2
Taste of Dilli 6,16,18,0,1,2.7
The Guls,8,66,0,0,3.0
The League Restaurant,21,61,1,0,3.1
The Plaza Solitaire,19,66,1,0,3.3
Uttarakhand Fast Food,21,55,0,0,2.9
Viva Hyderabad,14,56,0,1,2.5
Wahid Food Corner,17,61,0,0,2.8
Zync - Rosewood Hotel,21,86,1,0,3.0
Konetto Pizza,13,95,0,0,3.5
South Store,11,23,0,0,3.5
Grill & Cafe,12,64,0,0,0.0
Gurgaon Mughlai Chicken,23,52,0,0,0.0
Mughal Chicken Corner,21,42,0,0,0.0
Oven Aroma,10,50,0,1,0.0
Radha Swami Shudh Vaishno Dhaba,31,47,0,0,0.0
Special No.1 Biryani Corner,27,68,0,0,0.0
Sun Sweets Restaurant,21,61,0,0,0.0
Captain Bill$ Deliverz,22,36,0,1,2.4
China Hut,9,81,0,0,2.4
G Dot,5,87,0,1,2.4
Cake2you,8,46,0,0,3.0
Delight Express,15,48,0,0,2.9
Empress,7,86,1,0,2.9
Hotel DDR,9,43,0,0,2.8
Khan Kabab Corner,17,44,0,0,3.0
Kwality Cakes and Bakes,23,71,0,0,3.2
Nite Bites,10,25,0,1,2.9
Oriental Kitchen Express,24,64,0,1,3.3
Royal Mart,10,58,0,0,2.9
Sikkim Fast Food,16,35,0,0,2.7
ZASTY,5,18,0,0,3.5
Maachh Bhaat,12,101,0,1,3.4
ANTIDOTE,8,18,0,0,0.0
Bablu Fast Food,15,66,0,0,0.0
Bikaner Sweets Snacks & Restaurant,34,67,0,0,0.0
Bikaner Sweets,14,50,0,0,0.0
Biryani & Rolls,15,25,0,0,0.0
Cafe Coffee Day,15,41,0,0,0.0
Chefy's Kitchen,15,64,0,0,0.0
Delight Express,15,40,0,0,0.0
Dilli Rasoi,11,55,0,0,0.0
Dujal Cafe,10,53,0,0,0.0
Full Dabba,10,40,0,0,0.0
HSI Food World,14,45,0,0,0.0
Krishna Restaurant,18,69,0,0,0.0
Lajawaab House Cafe,19,38,0,0,0.0
Luncheon Box,12,67,0,0,0.0
Modern Sweets,13,56,0,0,0.0
Radha Swami Shudh Vaishno Dhaba,31,43,0,0,0.0
Raju Vaishno Amritsari Dhaba,28,34,0,0,0.0
Rustic Flavours,15,40,0,0,0.0
VK Food Court,13,37,0,0,0.0
Domino's Pizza,14,95,0,0,3.3
GoGourmet,9,63,0,0,3.2
Snack Shack,11,66,0,1,2.7
West��ross,10,87,0,1,3.5
Fruitpro,8,42,0,0,0.0
Konetto Pizza,13,71,0,0,0.0
Tpot,4,55,0,1,0.0
Cake Desire,11,28,0,0,3.0
Burger Xpress,13,40,0,0,0.0
Divine Bites,12,18,0,1,0.0
Interaxis,9,18,0,0,0.0
Kwality wall's swirl's,22,37,0,0,0.0
Milan Apna Dhaba,16,42,0,0,0.0
R S Foods,9,68,0,0,0.0
Ronny Flavours,14,52,0,0,0.0
Shahi  Chicken Corner,21,45,0,0,0.0
Behrouz Biryani,15,18,0,1,3.4
Biryani Art,11,54,1,1,3.3
Daawat-e! Amritsar,18,56,0,1,2.9
Faasos,6,39,0,1,3.0
Ovenstory Pizza,15,18,0,1,3.3
Pizza Hut Delivery,18,81,0,1,2.7
Game n Grillz,13,52,1,0,3.6
Hamoni Red: Play Cafe,21,68,0,0,3.9
Firangi Bake,12,36,0,1,0.0
Indochi,7,57,0,0,0.0
Kettle & Kegs,13,18,0,1,0.0
The Food Garage,15,79,0,0,0.0
Machan,6,44,1,0,3.3
Mainland China,14,63,1,0,3.3
Pind Balluchi,13,53,0,1,3.4
Sagar Ratna,11,53,0,0,2.7
Sasuraal,8,53,1,1,3.3
feel ALIVE,10,50,1,0,4.7
Matchbox,8,36,1,0,4.8
Prankster,9,29,1,0,4.8
21 Gun Salute,13,52,1,1,3.9
Backyard Underground,20,52,1,0,3.5
Bikanervala,11,54,0,1,3.8
Chin Chin,9,53,1,1,3.5
Domino's Pizza,14,53,0,0,3.6
Eggjactly,9,35,0,0,3.7
Gola Sizzlers,13,39,1,0,3.5
Hunter Valley,13,39,1,0,3.6
Jungle Jamboree,15,37,1,0,3.8
McDonald's,10,39,0,1,3.5
My Bar Headquarters By Dockyard,31,26,1,0,3.9
Punjabi by Nature,17,50,1,1,3.6
Sandys Cocktails & Kitchen,26,53,1,1,3.9
Sense Of Spirits,16,53,1,0,3.9
Starbucks,9,53,0,0,3.7
Swagath,7,42,1,0,3.6
The Old School Brew House,25,37,1,0,3.9
Barcelos,8,39,1,0,4.0
Boombox Brewstreet,18,50,1,0,4.4
BRONX Bar Exchange,18,39,0,0,4.1
Djinggs,7,37,0,0,4.1
Downtown - Diners & Living Beer Cafe,36,39,0,0,4.4
Drifters Cafe,13,35,0,0,4.1
Gung The Palace,15,39,1,1,4.2
Magadh and Awadh,16,59,1,1,4.0
Mamagoto,8,39,1,1,4.1
Molecule Air Bar,16,50,1,0,4.2
Nagai,5,87,0,0,4.3
PitStop BrewPub,15,33,1,0,4.4
The Classroom,13,31,1,0,4.4
bu��no,6,84,0,1,3.8
Bottles and Barrels,19,55,1,0,4.0
A One Rasoi,11,57,0,0,3.1
Angeethi,8,36,0,0,2.7
Burger Point,12,41,0,0,2.7
Cafe Coffee Day,15,39,0,0,3.1
Cake Castle,11,40,0,1,3.2
CHA,3,56,0,0,3.2
Chai Point,10,54,0,1,2.9
Fees - The Cloud Kitchen,24,24,0,0,2.9
Food Ka Mood,12,60,0,1,3.1
Frozen Factory,14,38,0,0,3.1
Goli Vada Pav No. 1,19,56,0,1,3.1
Green Chick Chop,16,63,0,0,3.1
Harichatni.com,14,40,0,0,2.9
Kk Chaap Express,16,31,0,0,3.3
Latenight.in,12,23,0,1,3.0
Mitran Da Junction,18,47,0,0,2.7
Mogambo Kitchen,15,39,0,0,3.1
Mother Ringlet,14,41,0,0,2.5
Sna-X Point,11,58,0,0,3.2
Wow! Momo,9,41,0,0,2.9
Yashna,6,41,0,1,2.8
Twigly,6,47,0,1,4.5
Bakers Oven,11,39,0,1,3.6
Dilli 6 On Wheels,17,103,0,1,3.8
La Pino'z Pizza,15,38,1,1,3.5
LeanBodyMeals,13,18,0,1,3.9
Om Sweets & Snacks,18,39,0,1,3.5
Tasty Tweets,12,36,0,1,3.9
The Kathi Rolls,15,41,0,1,3.5
Bite N Sip,10,58,0,0,0.0
Burger Joint,12,55,0,0,0.0
Dilli Light,11,33,0,0,0.0
Love Desserts,13,34,0,0,0.0
Flying Cakes,12,53,0,1,2.4
Bikkgane Biryani,16,38,1,1,4.0
Cafeast,7,81,0,0,3.0
Yomo-Your Only Momo Outlet,26,38,0,0,3.0
Afghan Indian,13,67,0,0,0.0
Al Fanoos,9,30,0,0,0.0
Alwar Sweets & Namkeen,22,43,0,0,0.0
Baskin Robbins,14,63,0,0,0.0
Bisht Food Court,16,47,0,0,0.0
Burj Al Arab,12,85,0,0,0.0
Chinese Chilli Sizllers,23,41,0,0,0.0
Costa Coffee,12,87,0,0,0.0
Costa Coffee,12,67,0,0,0.0
Desi Bites,10,42,0,0,0.0
Fresh Food,10,41,0,0,0.0
Kwality Restaurant,18,58,0,0,0.0
Kwality Wall's Swirl's,22,53,0,0,0.0
Nehra's Food Point,18,47,0,0,0.0
Orange Food Cart,16,46,0,0,0.0
Royal Sweets,12,61,0,0,0.0
Shree Annapurna,15,46,0,0,0.0
Underground Restaurant,22,71,0,0,0.0
Midnight Sutra,14,39,0,1,3.0
Paddy's - The Grub Grill,24,89,0,1,3.2
Sugar Rush By Saiba,19,28,0,0,4.1
Bamboo House,12,56,0,1,3.4
Burger Unlimited Kitchen,24,56,0,1,3.2
Cafeteria Point,15,54,0,1,3.2
Choudhary Gohana Famous Jalebi,30,56,0,0,3.2
Curry N' Tandoor,16,56,0,0,3.2
Dawat-e-Ishq,12,40,0,1,3.3
Delish Bake N Choc,18,63,0,0,2.9
Flavours,8,67,0,0,3.3
Om Sweets & Snacks,18,57,0,1,2.8
Om Sweets,9,63,0,1,3.2
Raj Restaurant,14,59,0,0,3.1
Tasha's Artisan Foods,21,56,0,0,3.2
Urban Kitchen,13,55,0,1,3.2
Nite Bites,10,18,0,1,3.7
Apna Dabba,10,64,0,0,0.0
BiBo's Kitchen,14,18,0,0,0.0
Burger Point,12,55,0,0,0.0
Cherry Crossing Foods,21,18,0,0,0.0
Chinese Fast Food,17,71,0,0,0.0
Chinese Food,12,18,0,0,0.0
Chop Shop,9,40,0,0,0.0
Dhara,5,18,0,0,0.0
Foody Goody,11,29,0,0,0.0
Kehar Sweets And Snacks,23,40,0,0,0.0
Muskan Chicken Biryani,22,36,0,0,0.0
Shakes Cakes 'n' More,21,53,0,0,0.0
Shri Sai Kirpa Food,19,40,0,0,0.0
Sufiya Hotel,12,37,0,0,0.0
The Breakfast Bite,18,44,0,0,0.0
Veg Hut,7,37,0,0,0.0
Raj Restaurant,14,58,0,1,2.4
Burger Hut,10,38,0,0,2.8
Dancing Turkeys,15,74,0,0,3.3
The Pack King,13,43,0,0,0.0
Bikaner Misthan Bhandar,23,59,0,0,0.0
Zizo,4,37,1,1,3.9
Grill King Kabab & Curries,26,72,0,1,2.4
Aarush - A Mediterranean Kitchen,32,18,0,0,3.2
Blossoms 4 U,12,71,0,1,3.0
Breakfast@60,12,37,0,0,3.1
Bunny Burgers,13,43,0,1,3.3
Curry Haus,10,42,0,1,3.1
Droolfi,7,31,0,0,3.0
Earthen Spices,14,51,0,0,2.7
FatPlates,9,50,0,0,3.0
Food4U!,7,60,0,1,3.2
Ghar Ki Handi,13,18,0,0,3.0
Giani,5,31,0,0,3.2
Great Desserts Company,22,63,0,0,3.3
Green Chick Chop,16,43,0,0,2.9
Mughlai Treat,13,51,0,0,3.2
Munch,5,18,0,1,3.1
New Spice World,15,54,0,0,2.9
Pure Bliss,10,55,0,0,3.0
Puskar Raj Momos & Chinese Corner,33,45,0,0,3.0
Sai-Yo!,7,56,0,1,3.1
Shanghai Cafe,13,71,0,1,2.6
The Blaze,9,57,1,0,2.9
Ullu Delivers,13,45,0,1,2.8
Yomo-Your Only Momo Outlet,26,31,0,0,3.0
Dimsum Democracy,16,34,0,0,3.6
Midnight Hunger,15,18,0,0,3.8
The Punjab Kitchen,18,64,0,1,3.9
Too Maach,9,52,0,1,3.5
Apni Rasoi,10,39,0,0,0.0
Bala Ji Sweets Corner,21,31,0,0,0.0
Barista,7,42,0,0,0.0
Biryani Express,15,65,0,0,0.0
Cafe #22hours,13,68,0,0,0.0
Cake Innovation,15,58,0,0,0.0
Chawla's�_,10,50,0,0,0.0
China Gathering,15,56,0,0,0.0
Chinese Hot Express,19,31,0,0,0.0
Cookingo,8,41,0,0,0.0
Firefly,7,31,0,0,0.0
Foodie Xpress,13,27,0,0,0.0
Go! Dimsum,10,31,0,0,0.0
Kanha North & South Indian Veg.,31,53,0,0,0.0
Kings Kulfi,11,43,0,0,0.0
Lassi Cafe,10,33,0,0,0.0
Marwadi Khana,13,18,0,0,0.0
Nukkadwala,10,70,0,0,0.0
Ravi Fast Food,14,31,0,0,0.0
Shivalik Tiffin Corner,22,45,0,0,0.0
Street Food By Punjab Grills,28,31,0,0,0.0
Sweet Ginger Bakery,19,47,0,0,0.0
The Rolling Stove,17,31,0,0,0.0
Vijeta's Happy Kitchen,22,18,0,0,0.0
Chawla's�_,10,63,0,0,2.2
Chy - Na Express,16,41,0,1,2.2
Kwality,7,35,0,0,2.4
Brother's Snacks and Shakes,27,49,0,1,3.2
Ginger Garlic,13,37,0,1,2.8
Arabicaa 9,10,62,0,0,3.3
Burger Xpress,13,50,0,0,3.4
Dilli Light,11,36,0,1,2.6
KB's Kulfi & Icecream,21,61,0,1,2.8
MyLoveBiryani.Com,17,22,0,0,3.2
Tandoori Adda,13,52,0,1,3.2
Tiffins 4 U,11,17,0,0,3.1
Cafe Cup of Life,16,48,0,1,3.7
DCK- Dana Choga's Kitchen,25,35,0,1,3.5
Kishu Di Hatti Sweets,21,42,0,0,3.6
KC Bakers,9,36,0,1,3.2
Sham Sweets,11,52,0,0,2.8
Bake Cuddle,11,73,0,0,0.0
Gopala,6,53,0,0,3.4
Halki Aanch,11,54,0,1,3.3
New Sukh Sagar,14,54,0,0,3.2
Sweets Corner,13,67,0,0,2.7
Minus5degree,12,47,0,0,3.6
Qureshi's Kabab Corner,22,57,0,0,4.0
Delicious Food Corner,21,52,0,0,0.0
Firangi Bake,12,46,0,0,0.0
Kettle & Kegs,13,20,0,1,0.0
The Daily,9,76,0,0,0.0
Burger Singh,12,19,0,1,3.4
Captain Bill$ Deliverz,22,19,0,1,2.5
Chaayos,7,75,0,1,3.3
Chai Point,10,72,0,1,3.4
Cyber Adda 24,13,68,0,0,3.3
Desi Thaat,10,65,0,1,3.2
Doughlicious,12,64,0,1,3.3
Dunkin' Donuts,14,51,0,1,3.4
Gulshan Dhaba,13,32,0,0,3.4
Karari Kurry,12,85,0,1,3.4
Moti Mahal Delux,16,44,1,1,3.2
Needs Gourmet,13,50,1,0,3.1
Rao's Meeting Point,19,48,0,0,3.4
Sadabahar Hotel,15,53,0,0,2.9
Sagar Ratna,11,58,0,1,2.5
Shri Ram Restaurant,19,47,0,0,3.1
Shri Ram Restaurant,19,72,0,0,2.6
Subway,6,56,0,1,2.9
Subway,6,67,0,1,2.9
Sugarcraft Patisserie,21,78,0,0,3.3
Tea Halt,8,73,0,1,2.8
The Golden Dragon,17,48,1,1,2.6
The Spice Room,14,65,1,1,3.4
The Tongue Twister,18,51,0,0,3.4
56 Fresca,9,80,1,1,3.7
BreakfastBay,12,56,0,1,3.5
Cafe Maple Street,17,53,0,1,3.5
Fat Lulu's,10,19,0,1,3.7
Fat Monk,8,68,0,1,3.9
First Eat,9,19,0,0,3.6
Flying Tuk Tuk,14,78,1,0,3.9
FreshMenu,9,60,0,1,3.9
Little Skillet,14,61,0,0,3.5
PKay,4,54,1,0,3.7
Shama Chicken Corner,20,60,0,0,3.6
Starbucks,9,66,0,0,3.7
Tandoori Nation,15,73,0,1,3.5
Truffle Tangles,15,71,0,0,3.5
Domino's Pizza,14,55,0,0,2.3
KB's Icecream & Kulfis,22,53,0,1,2.3
Wah Ji Wah,10,72,0,0,2.4
The Brewhouse,13,56,1,0,4.1
Boozer's,8,30,1,0,0.0
Cheffy's,8,27,0,0,0.0
Cake Point,10,75,0,1,2.8
Shyam Sweets,12,50,0,0,2.8
Uma Foodies' Hut,16,45,0,0,3.1
AK Your Food,12,57,0,0,0.0
Freshnfit.in,12,37,0,0,0.0
Shri Ram Bhojnalaya,19,43,0,0,0.0
Special O-cake-sions,20,59,0,0,0.0
Tasteful Biryani,16,21,0,0,0.0
Bikanervala,11,49,0,1,3.4
Indian Grill Room,17,65,1,1,4.5
Oriental Fusion,15,46,1,1,3.3
Purani Dilli's Al Karam Kebab House,35,34,0,1,3.4
Rollmaal,8,60,0,1,3.4
Speedy Chow,11,64,1,1,3.2
Arabian Nites,13,57,0,1,3.8
Giani's,7,40,0,1,3.7
Giani,5,40,0,1,3.6
Juste Miam,10,60,0,1,3.9
Patiala Shahi,13,44,0,1,3.5
The Kathis,10,40,0,1,3.8
Wai Yu Mun Ching,16,46,1,1,3.6
Bernardo's,10,40,1,1,4.0
Biryani Art,11,46,1,1,4.1
Nosh,4,40,0,1,4.1
Tandoor Express,15,40,0,1,4.2
Tandoori KnockOuts,18,40,0,1,4.2
Udaipuri,8,47,0,1,4.0
Begonia,7,38,0,0,3.0
Cakes & Muffins,15,48,0,0,3.3
Halki Aanch,11,43,0,1,2.7
Hungry Gopal,12,69,0,0,3.2
Kuzo,4,45,0,0,3.2
Lovecrumbs Bakery,17,36,0,0,3.4
Organic Express,15,79,0,1,3.4
Pizza Hut,9,51,0,1,2.8
Roti Te Boti,12,63,0,1,2.8
Behrouz Biryani,15,20,0,1,3.7
Caf�� Burger BC,15,57,0,1,3.7
Dilli Darbar,12,51,0,1,3.7
Fu.D,4,62,0,1,3.7
Jarfull,7,85,0,1,3.7
Mochamania,10,45,0,0,3.7
Mukhtalif Biryanis,18,20,0,1,3.7
Mummy's Kitchen,15,53,0,0,3.5
Ovenstory Pizza,15,20,0,1,3.7
The Godinho's,13,20,0,0,3.8
Kujay's Spoon,13,37,0,0,0.0
Lily Food's,11,50,0,0,0.0
Mutton Mewar,12,29,0,0,0.0
Tasty But Healthy,17,37,0,0,0.0
Teddy Choco Studio,18,36,0,0,0.0
Chin Chow,9,55,0,0,2.4
Cafe Sante,10,58,0,0,4.3
Mughal Dine-Esty,16,60,1,1,4.0
Nuterro,7,52,0,1,4.0
Sandburg Shakes,15,20,0,1,4.0
The Millionaire Express,23,45,0,1,4.0
Ammu's South Indian Restaurant,30,65,0,0,3.1
Elma's Delivers,15,45,0,0,3.1
Faasos,6,58,0,1,3.2
Foodrath,8,61,0,0,3.0
Hyderabad House,15,52,0,1,2.7
Kake Da Hotel,13,61,0,1,3.1
Mitraao,7,55,0,1,3.4
PomoDoro Bistro,15,66,0,1,3.4
Shri Shyam Ji Ke Mashhoor Chhole Bhature,40,48,0,0,3.3
Spice Aangan Express,20,52,0,0,3.0
Subway,6,61,0,0,3.3
Swaad Ka Khazana,16,60,0,0,2.6
The Toddy Shop,14,61,0,1,3.4
Truffles,8,60,0,1,3.2
Cafe Bonkerz,12,69,0,1,3.6
Wrapchick,9,42,0,1,3.9
WoW - Vada Pav & More,21,71,0,1,2.2
Me Kong Bowl,12,51,0,1,4.0
Palmyra - The Bristol Hotel,27,48,1,0,3.3
Shanghai Bar & Lounge - The Bristol Hotel,41,48,1,0,3.0
Zaffran - The Bristol Hotel,27,48,1,0,3.2
Zaffran - The Claremont,23,73,1,0,3.0
Clove - The Galgotias,21,55,1,0,2.7
Green Leaf,10,53,1,0,3.0
Tokyo,5,53,1,0,3.0
Cigar Lounge - The Oberoi,25,46,0,0,3.2
Melange - The Pllazio Hotel,27,59,1,0,3.6
Qureshi's Kabab Corner,22,87,0,0,3.3
EEST - The Westin Gurgaon,25,36,1,0,3.9
Prego - The Westin Gurgaon,26,36,1,0,3.8
Seasonal Tastes - The Westin Gurgaon,36,36,1,0,3.9
Xiao Chi - The Westin Sohna Resort & Spa,40,91,1,0,3.4
The Living Room - The Westin Sohna Resort & Spa,47,91,0,0,3.7
The Bar - Trident Gurgaon,25,43,0,0,3.3
Konomi - Trident Gurgaon,24,43,0,0,3.5
L'Opera,7,45,0,1,3.7
Town Hall,9,45,1,0,3.5
Whisky Samba,12,45,1,0,3.8
Chokola,7,39,0,0,3.1
Citrus Cafe - Lemon Tree Hotel,30,56,0,0,2.7
Green Hut,9,83,0,0,2.8
My Plate,8,63,0,0,3.1
PiccoLicko,10,58,0,1,3.3
Pind Balluchi,13,60,0,1,2.7
Raj Xpresso,11,66,0,0,2.9
Riders Hub,10,69,1,0,3.1
Shivani Catering Services,25,59,0,0,3.1
The Diet Kitchen,16,20,0,1,3.3
The Gr8 Taste of India,22,42,0,1,3.0
World Art Cafe,14,43,0,0,3.3
XLNC Bakers,11,20,0,0,2.9
Adventure Food,14,42,0,0,0.0
Baba Da Dhaba,13,19,0,0,0.0
Bandhani Fast Food,18,25,0,0,0.0
Bhai Ji Dhaba,13,45,0,0,0.0
Bikaner Sweets,14,70,0,0,0.0
Cafe Coffee Day,15,88,0,0,0.0
Cake 24x7,9,79,0,1,0.0
Chaayos,7,84,0,1,0.0
Chauhan Hotel,13,52,0,0,0.0
Costa Coffee,12,82,0,0,0.0
Dheeraj Vaishno Dhaba,21,80,0,0,0.0
Domino's Pizza,14,53,0,0,0.0
Food Ka Adda,12,53,0,0,0.0
iKitchen,8,60,0,1,0.0
Knights Kitchen,15,35,0,0,0.0
Ku-Kukdu-Ku,11,75,0,0,0.0
Mogambo Kitchen,15,39,0,0,0.0
Noore-e-Seva,12,50,0,0,0.0
Premier Bite,12,34,0,0,0.0
Renu Sweets & Restaurant,24,67,0,0,0.0
Street Foods by Punjab Grill,28,37,0,0,0.0
Tpot,4,43,0,1,0.0
Uttrakhand Bohra Bhojnalaya & Fast Food,39,66,0,0,0.0
Uttrakhand Dhaba,16,36,0,0,0.0
Tea Halt,8,52,0,1,3.1
Dunkin' Donuts,14,50,0,1,3.5
Indian Bistro Company,21,55,0,0,3.7
Department of Food and Social Affair,36,54,0,0,0.0
Tpot,4,47,0,1,0.0
Anaaj,5,49,0,0,2.9
Au Bon Pain,11,73,0,0,2.8
Cafe Coffee Day,15,37,0,0,3.1
Cafe Friends,12,46,0,0,3.2
Chinese Bistro,14,49,0,0,2.9
Dunkin' Donuts,14,74,0,0,3.4
Madras Coffee House,19,66,0,0,3.0
McDonald's,10,69,0,0,3.3
Nukkadwala,10,66,0,0,3.2
Salad Chef,10,37,0,1,3.2
Subway,6,63,0,0,3.3
Tea Halt,8,74,0,1,2.7
The Kachori Co.,15,76,0,0,2.5
Urban Dhaba,11,61,0,1,3.2
A Piece of Paris,16,59,0,1,3.9
Chaayos,7,52,0,1,3.8
Doughlicious,12,75,0,0,3.6
Eggers Madhouse,15,41,0,1,3.7
Live Wok,8,37,1,0,3.6
Orange Chopsticks,17,37,1,1,3.5
Pizzoccheri,11,85,1,0,3.6
Creamy Innovation,17,60,0,0,0.0
Dosa Republic,13,37,0,0,0.0
Giani's,7,37,0,0,0.0
Chai Point,10,37,0,1,2.4
Latitude - Vivanta By Taj,25,71,1,0,3.8
Thai Pavilion - Vivanta By Taj,30,71,1,0,4.0
3H Kitchen,10,41,0,0,2.9
Manish Sweets & Bakers,22,44,0,0,2.8
Oasis Kitchen,13,42,0,0,2.9
Ramchandra Chinese Food,23,42,0,1,2.7
Sona Chinese,12,42,0,0,2.8
The Pastry Hut,14,47,0,1,2.9
Aggarwal Sweets & Restaurant,28,42,0,0,0.0
Bhoomika,8,62,0,0,2.9
FoodZilla,9,73,0,1,3.3
Goli Vada Pav No. 1,19,63,0,1,3.4
Indo Chinese,12,54,0,0,3.2
Kathi Junction,14,65,0,1,3.0
Romi da Dhaba,13,66,0,1,3.1
Shamji Snacks,13,57,0,0,2.7
The Lunch Break,15,51,0,0,2.9
Veg O Non,9,49,0,0,3.1
Alwar Sweets,12,74,0,0,3.5
Bakers Oven,11,62,0,1,3.6
Burgzz Bee,10,52,0,1,3.6
Chinese Corner,14,43,0,1,3.6
Iroha,5,56,0,0,3.7
Chaudhary Burfi Wala,20,44,0,0,0.0
Curry 'n' Phulka,16,50,0,1,2.4
Wah Ji Wah,10,72,0,1,2.2
Woods Spice,11,62,1,0,3.2
Mocha,5,49,0,0,4.6
Terra Mayaa Restaurant and Lounge,33,61,0,0,3.9
The Basement Caf��,18,70,0,0,4.7
Strawberry Fields,17,63,0,0,4.1
Brooklyn Blues,14,66,0,0,4.2
Confucius,9,47,0,0,4.1
The Woking Mama,15,87,0,0,4.4
Underdoggs Sports Bar & Grill,29,73,0,0,4.4
The Zouq : Resto-Cafe,21,95,0,0,4.1
BrewBakes,9,73,0,0,4.0
Barbeque Nation,15,46,0,0,4.9
Yo! China,9,66,0,0,3.6
4 Seasons,9,72,0,0,3.6
11th Avenue Cafe Bistro,23,83,0,0,4.1
Caf�� Riverrun,14,66,0,0,4.2
Fat Belly,9,86,0,0,4.1
The Corner Cafe,15,75,0,0,4.1
Chung Fa,8,79,0,0,4.3
Shanghai Salsa,14,93,0,0,4.0
Three Guys,10,63,0,0,4.3
Ziya,4,73,0,0,4.3
Exotica,7,90,1,1,4.3
AB's - Absolute Barbecues,25,81,0,0,4.9
Chili's,7,81,1,1,4.7
The Fisherman's Wharf,21,81,1,0,3.8
Chili's,7,53,0,1,4.6
Pine & Dine,11,48,1,1,4.0
Jonathan's Kitchen - Holiday Inn Express & Suites,49,51,1,0,4.3
AB's - Absolute Barbecues,25,131,0,0,4.9
Con�_u,6,40,0,0,4.8
Dock Forty Five,15,39,0,0,4.2
Mocha Bar,9,38,1,0,4.2
Olive Bistro,12,56,1,1,4.4
Prost Brew Pub,14,42,1,0,4.1
United Kitchens of India,24,33,1,0,4.1
Heart Cup Coffee,16,73,0,1,4.2
Churrolto,9,85,0,0,4.7
The Grand Trunk Road,20,42,0,1,3.9
Sahib��s Barbeque by Ohri��s,28,78,1,0,4.1
KYRO,4,83,0,0,3.7
JAL - A Jungle Restaurant,25,61,0,0,4.1
Oye24,5,15,0,0,4.1
Hobnob Gourmet Caf��bar,23,53,0,0,4.1
Mangosteen Cafe,15,57,0,0,3.9
Mama Loca,9,46,0,0,4.2
Vidorra,7,67,0,0,4.0
Cafe Palette,12,31,0,0,3.8
Nafees Restaurant,17,40,0,0,4.0
The Creative Kitchen - Radisson Blu Hotel,41,66,0,0,3.8
Square - Sayaji Hotel,21,49,0,0,4.3
Freito,6,48,0,0,3.1
Cafe Terazza,12,66,0,0,3.9
Cafe Yolo,9,64,0,0,3.8
Just My Bakes,13,38,0,0,3.9
10 Downing Street,17,71,0,0,4.0
Cakesmith's Alley,17,71,0,0,4.3
The Yellow Chilli,17,79,0,0,4.1
Waffle House,12,80,0,0,4.3
Mocha,5,71,0,0,4.0
Tapri Central,13,74,0,1,4.7
Blackout,8,79,0,0,3.9
Mamu's Infusion,15,96,0,1,4.0
Nibs Cafe,9,76,0,1,4.4
On The House,12,55,0,1,4.4
WTF,3,51,0,0,4.0
Chokhi Dhani,12,55,0,0,4.3
Meraaki Kitchen,15,85,0,0,3.9
Taruveda Bistro,15,72,0,1,4.2
The Forresta Kitchen & Bar,26,77,0,0,4.0
Monarch Restaurant - Holiday Inn Jaipur City Centre,51,88,0,0,4.5
Chao Chinese Bistro - Holiday Inn Jaipur City Centre,52,88,0,0,4.3
Zolocrust - Hotel Clarks Amer,29,83,0,1,4.9
Mutual's,8,60,0,1,4.2
O2- The Plant Cafe,18,55,0,0,4.1
Cafe LazyMojo,13,55,0,1,4.3
Replay,6,70,0,0,4.3
Sky Beach,9,65,0,0,2.6
Decked Up By Garden Cafe,24,75,0,1,3.9
Calzone- Dine & Rooftop Lounge,30,66,0,1,3.7
Hucka,5,40,0,0,3.3
The Zaffran,11,51,0,0,3.3
Gyan Vaishnav,13,41,0,0,3.9
Liquid,6,64,0,0,4.0
Royal Dine - Hotel Royal Cliff,30,73,0,0,4.0
Urban Crave Express,19,51,0,0,3.5
Atmosphere Grill Cafe Sheesha,29,68,0,0,3.6
Mr Brown,8,35,0,0,3.9
Dunkin Donuts,13,58,0,0,4.1
Little Chef,11,65,0,0,4.1
UrbanCrave,10,56,0,0,3.9
Chin Mi,7,64,0,0,3.9
Tadka,5,36,0,0,3.8
Dhuaan,6,58,0,0,4.3
Upper Crust,11,32,0,0,3.4
Anaicha's Food Joint,20,30,0,0,3.6
Aromas,6,58,0,0,4.1
Waterside - The Landmark Hotel,30,78,0,0,3.9
Verandah,8,58,0,0,3.7
Barbeque Nation,15,60,0,0,4.0
